round,tossup,category,subcategory,answer,words
1,1,History,European History,German university students,149
1,2,Science,Physics,gravitational lensing,138
1,3,Arts,Painting/Sculpture,Kara Walker,148
1,4,History,American History,George Crook,144
1,5,Thought,Social Science,communication,133
1,6,Beliefs and Other,Mythology,having a strong scent,156
1,7,Literature,World Literature,Argentina,166
1,8,Science,Chemistry,carbon AND oxygen,141
1,9,Beliefs and Other,Religion,Parsis,151
1,10,Literature,European Literature,The School for Wives,158
1,11,History,Other History,Thessalonica,140
1,12,Arts,Other Fine Arts,the Major-General,154
1,13,History,World History&gt;,Angola,141
1,14,Thought,Philosophy,Parmenides of Elea,148
1,15,Literature,American Literature,Suzan-Lori Parks,159
1,16,Arts,Classical Music,Manfred Symphony,148
1,17,Science,Biology,psoriasis,142
1,18,Literature,British Literature,Catherine Morland,145
1,19,Beliefs and Other,Geography,Mauritius,149
1,20,Science,Other Science,cardinal numbers,140
10,1,Thought,Philosophy,Georg Wilhelm Friedrich Hegel,123
10,2,Literature,American Literature,Sula Peace,147
10,3,Science,Other Science,aquifers,137
10,4,Arts,Painting/Sculpture,Tower of Babel,152
10,5,Beliefs and Other,Mythology,Rostam,169
10,6,Science,Biology,skin color change,136
10,7,History,American History,Title IX,137
10,8,Arts,Other Fine Arts,Marcel Duchamp,154
10,9,Literature,British Literature,debtors’ prisons,152
10,10,History,World History,Guatemala,141
10,11,Thought,Social Science,accusative case,136
10,12,Science,Chemistry,oxidations,120
10,13,Arts,Classical Music,Jean Sibelius,152
10,14,Science,Physics,spin–statistics theorem,152
10,15,History,European History,Joséphine Bonaparte,147
10,16,Literature,World Literature,Urdu,152
10,17,Beliefs and Other,Religion,Book of Joel,150
10,18,Beliefs and Other,Current Events,Russia,129
10,19,History,Other History,al-Andalus,147
10,20,Literature,European Literature,Pindar,151
11,1,Literature,British Literature,Dylan Thomas,158
11,2,Science,Biology,phosphofructokinase,127
11,3,History,European History,Pakistan,150
11,4,Science,Physics,nonlocality,149
11,5,Beliefs and Other,Geography,Río de la Plata,149
11,6,Literature,American Literature,Her Body and Other Parties,160
